# All infantry equipment

equipments = {

	mortar_infantry_equipment = {
		year = 1937
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
	
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 4

		#Defensive Abilities
		defense = 1
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 1
		hard_attack = 3
		ap_attack = 1
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.4
		resources = {
			steel = 2
		}
		
	}

	mortar_infantry_equipment_1 = {
		year = 1937
	
		archetype = mortar_infantry_equipment
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 1
		breakthrough = 2

		#Offensive Abilities
		soft_attack = 10
		hard_attack = 4
		ap_attack = 1
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.07

		build_cost_ic = 0.05
	}

	mortar_infantry_equipment_2 = {
		year = 1939
	
		archetype = mortar_infantry_equipment
		parent = mortar_infantry_equipment_1
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 2
		breakthrough = 1

		#Offensive Abilities
		soft_attack = 20
		hard_attack = 6
		ap_attack = 10
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.07

		build_cost_ic = 0.05
		resources = {
			steel = 1
		}
	}

	mortar_infantry_equipment_3 = {
		year = 1949
	
		archetype = mortar_infantry_equipment
		parent = mortar_infantry_equipment_2
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 4
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 30
		hard_attack = 10
		ap_attack = 10
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.07

		build_cost_ic = 0.05
		resources = {
			steel = 1
		}
	}

	mortar_infantry_equipment_4 = {
		year = 1980
	
		archetype = mortar_infantry_equipment
		parent = mortar_infantry_equipment_3
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 5
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 40
		hard_attack = 15
		ap_attack = 10
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.07

		build_cost_ic = 0.05
		resources = {
			steel = 2
		}
	}

	mortar_infantry_equipment_5 = {
		year = 1985
	
		archetype = mortar_infantry_equipment
		parent = mortar_infantry_equipment_4
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 6
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 50
		hard_attack = 25
		ap_attack = 10
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.07

		build_cost_ic = 0.05
		resources = {
			steel = 2
		}
	}
}
