[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: AIRPLANES_1_TRANSPORT_SUPPLY_ANIM
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: AIRPLANES_3_TRANSPORT_SUPPLY_ANIM
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: TRANSPORT_DIVISION_FACTOR
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: MAX_TRANSPORT_SCENARIOS
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_EDGE_R
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_EDGE_G
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_EDGE_B
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_EDGE_A
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_NON_EDGE_R
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_NON_EDGE_G
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_NON_EDGE_B
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_NON_EDGE_A
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: CAPITAL_ICON_CUTOFF
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: ARMY_DEFENSIVE_LINE_BUTTON_SIZE
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: ARMY_GROUP_DEFENSIVE_LINE_BUTTON_SIZE
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: ACCLIMATIZATION_CAMO_SHOW_AT
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: ACCLIMATIZATION_CAMO_SHOW_WHEN_IN_STATE
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: DIVISION_NAMES_GROUP_MAX_TOOLTIP_ENTRIES
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: TRADE_ROUTE_BAD_EFFICIENCY_THRESHOLD
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: TRADE_ROUTE_REGIONAL_BAD_EFFICIENCY_THRESHOLD
[10:22:02][pdx_lua.cpp:462]: 
LUA Error: incorrect lua value: TRAIT_GRID_COLUMN_SHIFTS
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: TRAIT_GRID_ROW_SHIFT
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: UNIT_SELECT_DOUBLE_CLICK_TIME
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: MINIMAP_PING_DURATION
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: MINIMAP_PING_SPEEDUP_ON_SCREEN
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: MINIMAP_PING_DELAY_BETWEEN_PINGS
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: MINIMAP_TOGGLE_DURATION
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: MINIMAP_TOGGLE_SHIFT
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: TIMED_MESSAGE_TIMEOUT
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: DRAG_AND_DROP_SCROLLING_SENSITIVITY
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: GRIDBOX_ELEMENTS_INTERPOLATION_SPEED
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: ARMY_GROUP_PORTRAIT_SPACING
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: ARMY_GROUP_FIRST_MEMBER_SPACING
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: ARMY_GROUP_COLLAPSE_EXTRA_SPACING
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: ARMY_LIST_BOTTOM_PADDING
[10:22:02][pdx_lua.cpp:462]: 
LUA Error: incorrect lua value: MILITARY_FACTORIES_SCALE
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BATTLE_SOUND_FALLOFF_DEFAULT
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_001' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_002' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_003' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_004' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_005' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_006' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_007' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_008' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_009' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_010' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_011' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_012' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_013' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_014' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_015' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_016' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_017' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_018' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_019' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_020' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_021' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_022' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_023' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_024' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_025' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_026' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Idle_027' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_001' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_002' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_003' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_004' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_005' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_006' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_007' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_008' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_009' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_010' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_011' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_012' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Neutral_013' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_001' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_002' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_003' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_004' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_005' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_006' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_007' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_008' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_009' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_010' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_011' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_012' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_013' already added
